UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Fort Lauderdale_Lincoln Park,3.55E-05,3.79E-05,0.000118329,1.15E-06,2.19E-06,0,3.80E-05,3.36E-05,0,4.48E-08,1.32E-06,8.36E-07,9.89E-07,0,0,2.55E-05,1.64E-05,0,0,0,1.64E-05,-1.64E-05,2.69E-05,-0.502860677,1,grassland
Fort Lauderdale_Loggerhead Park,3.61E-05,7.90E-06,3.88E-05,5.20E-08,1.48E-05,0,2.08E-05,3.02E-05,1.17E-05,6.73E-07,1.09E-05,2.41E-06,2.40E-05,0,0,8.62E-07,4.25E-05,0.00877193,0,0.00877193,0.005267158,0.003504772,0.000397529,-0.063522746,1,Biodiversity
Fort Lauderdale_Lu Deaner Park,6.17E-05,4.04E-05,3.27E-06,4.81E-08,1.87E-05,0,3.98E-05,3.93E-05,1.20E-05,2.44E-06,1.62E-05,2.65E-06,6.13E-05,0,0,1.73E-06,4.79E-05,0,0.003673345,-0.003673345,0.000654248,-0.000654248,0.000547543,-0.127837434,1,area
Fort Lauderdale_Mangurian Park-Coral Ridge Country Club,0.00061243,0.000214091,0.000702907,0.00016986,0.000381585,0,0.000382563,0.000957095,4.80E-05,3.52E-05,3.56E-07,8.91E-05,0.000446832,0,0,0.000308004,0.000339197,0,0.045,-0.045,0.002698333,-0.002698333,0.000486704,-0.955789944,1,mean_ndwi
Fort Lauderdale_Middle River Terrace Park,0.001296461,0.001451427,0.002859357,1.50E-05,0.000159392,0,0.001163666,0.001214302,0,0.000142287,3.87E-06,0.001300345,0.001696147,0,6.45E-05,4.98E-05,0.003395987,0,0.010135135,-0.010135135,0.000588964,-0.000588964,0.001670461,-0.866709286,1,Biodiversity
Fort Lauderdale_Mills Pond Park,6.15E-06,2.84E-05,1.03E-06,1.38E-06,1.45E-05,0,0.000100689,0.000121454,0,8.93E-06,2.83E-07,1.60E-06,5.89E-06,0,0,3.34E-08,4.44E-05,0,0.004887585,-0.004887585,0.000986559,-0.000986559,0.000318173,-0.054388987,1,mean_ndwi
Fort Lauderdale_Northfork Riverfront Park,2.46E-05,8.51E-06,6.39E-05,4.01E-07,2.46E-06,0,2.20E-05,3.61E-05,0,4.75E-06,3.58E-07,7.50E-07,1.80E-06,0,0,4.21E-06,3.80E-06,0,0.000910747,-0.000910747,0.00010929,-0.00010929,2.04E-05,-0.136069218,1,grassland
Fort Lauderdale_Osswald Park,2.21E-06,2.23E-06,6.11E-07,6.87E-06,1.43E-06,0,8.64E-06,2.83E-06,0,4.34E-08,2.47E-07,2.46E-07,2.67E-07,0,0,1.14E-07,1.53E-05,0,0.003225806,-0.003225806,0.000122312,-0.000122312,2.44E-05,-0.163506331,1,Biodiversity
Fort Lauderdale_Palm Aire Village Park,1.71E-05,1.81E-05,5.45E-06,2.54E-07,2.68E-06,0,1.19E-05,1.60E-05,0,1.12E-05,2.23E-07,7.68E-09,3.16E-07,1.42E-05,0,0,1.26E-05,0,0.0096,-0.0096,5.76E-05,-5.76E-05,0.001068257,-0.098315573,5,tree
Fort Lauderdale_Peter Feldman Park,0.00119942,0.00092043,0.002162935,2.84E-08,3.52E-06,0,0.001241643,0.000816428,0,0.000544294,8.65E-05,0.001345634,0.001879317,0,0.000125612,0.000160295,0.000471943,0,0.038773885,-0.038773885,0.007986895,-0.007986895,0.001095976,-0.656991582,1,grassland
Fort Lauderdale_Riverland Park,6.03E-07,2.44E-05,0,0.000122398,3.57E-05,0,4.27E-06,5.64E-05,5.64E-06,1.12E-05,9.59E-06,4.38E-07,0,4.91E-05,0,0,6.99E-06,0,0,0,5.77E-05,-5.77E-05,5.61E-05,-0.280253576,1,water
