UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Pompano Beach_Sgt. Chris Reyka Memorial Park,0.084058734,0.086026385,0.025505761,0.007119828,0.005730479,0,0.079110171,0.211562116,0.022395067,0.118481682,0,0.051075851,0.193643586,0,0.005832391,0.008109549,0.129812499,0,0.468360045,-0.468360045,0.093996922,-0.093996922,0.079271188,-0.018886946,1,mean_ndwi,,,,
Southwest Ranches_Rolling Oaks Park,0.037769771,0.059748238,0.022799601,0.000585151,0.033875229,0,0.031768549,0.037989092,0.003187275,0.006577482,0.001229393,0.040626999,0.01426131,0,0.015841462,9.22E-05,0.069665967,0.666666667,0.263809524,0.402857143,0.650055485,0.016611182,0.060576614,-0.730214499,1,Biodiversity,,,,
Southwest Ranches_Sunshine Ranches Equestrian Park,0.054757611,0.083665582,0.05330501,0.006585354,0.034130805,0,0.106406873,0.072863815,0.000140162,0.001700645,0.005691175,0.001114256,0.002361852,0.000316072,0.053091661,0.003420299,0.055273749,0.285714286,0.678455293,-0.392741007,0.323948863,-0.038234577,0.043586811,-0.083029776,1,mean_ndvi,,,,
Sunrise_City Park,0.052441509,0.066088981,0.049928918,0.002361439,0.027370213,0,0.163329962,0.130089199,0.012690972,0.010225835,0.010457766,0.069182271,0.02284002,0,0,0.017503131,0.142599481,0.790697674,0.789440883,0.001256791,0.784343957,0.006353717,0.057798024,0.258840373,1,mean_ndvi,,,,
Sunrise_Cypress Preserve Park,0.039303098,0.044401133,0.014995005,0,0.010862583,0,0.049217809,0.031082091,0.003905598,0.019836669,0.003390377,0.004726662,0.005199354,0,0.001159943,0.003544113,0.026665222,0.669902913,0.672194712,-0.002291798,0.672592366,-0.002689453,0.088043082,-0.47138537,1,mean_ndvi,,,,
Sunrise_Flamingo Park,0.013275805,0.009446316,0.007894201,0.003112918,0.018861571,0,0.019265415,0.011312217,0.00233288,0.003726545,0.001413259,0.001183185,0.005465479,0,0.003100309,0.007884411,0.012937957,0.68,0.592062641,0.087937359,0.670035574,0.009964426,0.023183875,-0.301323576,1,mean_ndvi,,,,
Sunrise_Flamingo Road Linear Park,0.024732687,0.032230049,0.021359501,0.001345199,0.019470067,0,0.026765847,0.010858435,0.000559973,0.000471359,0.007903345,0.000346495,0.003717993,0,0.012921463,0.004620389,0.01955151,0.666666667,0.6349111,0.031755567,0.665626516,0.001040151,0.024659777,-0.423390078,1,tree,,,,
Sunrise_Lakeside Park,0.077387424,0.079983975,0.026283682,0,0.017778165,0,0.085360547,0.076855496,0.012364427,0.031343241,0.019090262,0.030140332,0.015846624,0,0,0.011177204,0.072825029,1,0.602976191,0.397023809,0.973460941,0.026539059,0.060831041,0.042427071,1,mean_ndvi,,,,
Sunrise_Nob Hill Soccer Club Park,0.046716094,0.078505865,0.024460447,0.000143714,0.060540087,0,0.021583625,0.03021478,0.000406267,0.004225907,0.000687599,0.00703495,0.005501503,0,0.003056672,0.006896725,0.024367264,0.551724138,0.845278292,-0.293554154,0.567048532,-0.015324394,0.070735414,-0.332559778,1,tree,,,,
Sunrise_Oak Hammock-Passive Park,0.058634271,0.088909494,0.017865677,0,0.03012471,0,0.106107069,0.033320335,0.001776698,0.025180191,0.001777855,0.009547082,0.034608614,0,0.006615978,0.00356333,0.096910079,0.627218935,0.431356577,0.195862358,0.606251454,0.020967481,0.071980665,-0.22138193,1,mean_ndvi,,,,
