UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pompano Beach_Sgt. Chris Reyka Memorial Park,0.000500734,0.000473522,0.000293014,3.46E-05,3.13E-05,0,0.000470105,0.000451617,8.05E-05,8.63E-05,0,8.58E-05,1.06E-05,0,6.22E-06,7.65E-06,0.000586752,0,0.023785714,-0.023785714,0.007835778,-0.007835778,0.000337629,-0.764674849,1,Biodiversity
Southwest Ranches_Rolling Oaks Park,0.000382595,0.000113011,0.000785533,1.00E-04,0.000181596,0,0.000223509,0.000165756,6.29E-06,8.04E-05,8.16E-05,3.32E-05,3.63E-05,0,2.36E-05,4.84E-05,7.90E-05,0,0,0,0.000213115,-0.000213115,0.000261608,-0.413135189,1,grassland
Southwest Ranches_Sunshine Ranches Equestrian Park,0.001309165,0.00071825,0.001394262,7.24E-05,0.000292857,0,0.000282137,0.000914541,0,1.17E-05,4.19E-05,5.51E-06,2.26E-06,1.32E-07,5.91E-05,6.59E-06,0.000302961,0,0.016666667,-0.016666667,0.000624708,-0.000624708,0.000429708,-1.321543056,1,grassland
Sunrise_City Park,6.38E-07,1.19E-06,5.08E-07,0,1.22E-08,0,4.22E-07,1.38E-07,1.60E-08,0,0,2.41E-07,2.93E-08,0,0,4.26E-08,3.55E-07,0,0,0,0,0,2.18E-06,-0.024852823,1,tree
Sunrise_Cypress Preserve Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Sunrise_Flamingo Park,1.03E-05,8.93E-06,4.29E-06,6.03E-06,1.48E-05,0,2.43E-06,1.44E-06,3.45E-07,1.44E-07,1.61E-06,0,1.49E-08,0,1.32E-07,3.37E-06,1.61E-05,0,0.000694445,-0.000694445,3.33E-05,-3.33E-05,0.000153464,-0.024193137,1,Biodiversity
Sunrise_Flamingo Road Linear Park,2.06E-05,2.67E-06,1.40E-05,8.24E-06,1.20E-05,0,3.52E-07,3.21E-05,1.01E-05,1.07E-07,2.40E-06,1.23E-07,2.67E-07,0,1.35E-07,5.23E-07,2.12E-05,0,0.000833333,-0.000833333,9.44E-05,-9.44E-05,0.000154865,-0.033540124,1,mean_ndwi
Sunrise_Lakeside Park,0,0,0,0,1.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151189,-0.000115703,1,herbaceous_wetland
Sunrise_Nob Hill Soccer Club Park,4.99E-05,0.000108402,0.000160417,6.62E-06,0.000123822,0,0.000211793,0.000745903,0.000984168,0,1.02E-05,1.69E-05,0,0,0,7.96E-05,0.001009585,0,0,0,0.000237037,-0.000237037,0.000232305,-0.541404667,1,Biodiversity
Sunrise_Oak Hammock-Passive Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
