UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Davie_The Park at Waverly,0.06387252,0.052247563,0.039190298,0.011489482,0.030834678,0,0.079936777,0.06937486,0.015523764,0.028604322,0.000738082,0.014958222,0.04848278,0,0.008324065,0.006635706,0.086057362,0.6,0.61212908,-0.01212908,0.592039824,0.007960176,0.075893475,-0.469684483,1,Biodiversity,,,,
Davie_Veterans Park,0.052117821,0.0303504,0.026216402,0.011002817,0.037976288,0,0.022613642,0.055662483,0.086776443,0.031500592,0.01958364,0.015353532,0.006811386,0,0,0.002474642,0.034323082,0.361111111,0.631757754,-0.270646643,0.391108457,-0.029997346,0.067031992,-0.187248441,1,Pavilion_Picnic_Area,,,,
Davie_Waterford Park,0.050495489,0.034496859,0.044921831,0.010542295,0.031255557,0,0.045092688,0.053863531,0.004554196,0.016365859,0.000867004,0.005940693,0.054502579,3.17E-05,0.008899541,0.001807212,0.047227428,0.55,0.503083874,0.046916126,0.542442268,0.007557732,0.075111241,-0.231833161,1,Athletic_facility,,,,
Davie_Wes Griffin Park,0.043939546,0.083120816,0.029766891,0.004694742,0.026037834,0,0.038377915,0.10596011,0.010164229,0.040402342,0.005112472,0.010870766,0.008593799,0,0,0.018797832,0.041337821,0.555555556,0.381613757,0.1739418,0.550013124,0.005542432,0.040510089,-0.017817615,1,mean_ndwi,,,,
Davie_Westridge Park,0.214102868,0.163076385,0.182521472,0.007654256,0.061643002,0,0.055672989,0.036465707,0.010909244,0.060955884,0.003295104,0.003017219,0.012772075,0.082590068,1.44E-05,0.006859418,0.056567285,0.272727273,0.569539319,-0.296812046,0.280423031,-0.007695758,0.057965984,0.17413736,1,area,,,,
Davie_Wolf Lake Park,0.111112278,0.083269684,0.062230792,0.003812133,0.027956137,0,0.071377384,0.052628871,0.020145762,0.014231781,0.001907019,0.012751622,0.030224921,0.004441297,0.003710735,0.013235313,0.078637117,0.268292683,0.333333333,-0.06504065,0.265849101,0.002443582,0.112568247,-0.487229237,2,area,,,,
Deerfield Beach_Ada Graham-Johnson Park,0.042184708,0.041264156,0.0814128,0.006552391,0.007309598,0,0.101146977,0.143666474,9.59E-05,0.006198163,0.037067566,0.004498229,0.116896621,0.001767457,0.012904565,0.007361629,0.049796848,0.5,0.276542957,0.223457043,0.464805684,0.035194316,0.031079765,0.30658503,1,mean_ndwi,,,,
Deerfield Beach_Branhilda Richardson-Knowles Memorial Park,0.116181529,0.218426568,0.066645807,0.00749048,0.041156628,0,0.073604438,0.102457317,0.304767144,0.072524135,0.009206611,0.006796999,0.01203252,0.005044105,0.013654351,0.022725048,0.140179558,0,0.152015251,-0.152015251,0.04862356,-0.04862356,0.051040799,0.209393093,1,Pavilion_Picnic_Area,,,,
Deerfield Beach_Central Crystal Heights,0.045900317,0.045409668,0.052790299,0.002850348,0.02445707,0,0.135446579,0.117044279,0.001514721,0.006071172,0.006139425,0.002055411,0.142142413,0.00265225,0.005744358,0.026507951,0.07928058,0,0,0,0.018603724,-0.018603724,0.058639453,0.146582477,1,Athletic_facility,,,,
Deerfield Beach_Constitution & Arboretum Park,0.070371519,0.037836063,0.061098231,0.004029325,0.013443996,0,0.11938362,0.113427287,0.00148321,0.011713919,0.01467677,0.006292893,0.120232452,0.001366599,0.015456153,0.015677626,0.04753592,0.361538462,0.25,0.111538462,0.343607959,0.017930503,0.045552834,0.313145334,1,Athletic_facility,,,,
